04/16/24|000050311|Quebec - Ecole Les Primeveres|PM2.5-24hr|UG/M3|0.9|24|Canada-Quebec1|4|0|46.774170|-71.369720|124000050311
04/16/24|000050504|Saguenay - UQAC|OZONE-1HR|PPB|39|1|Canada-Quebec1|-999|-999|48.415300|-71.052800|124000050504
04/16/24|000050504|Saguenay - UQAC|OZONE-8HR|PPB|33|8|Canada-Quebec1|31|0|48.415300|-71.052800|124000050504
04/16/24|000050504|Saguenay - UQAC|PM2.5-24hr|UG/M3|2.2|24|Canada-Quebec1|9|0|48.415300|-71.052800|124000050504
04/16/24|000050604|Rouyn-Noranda - Parc Tremblay|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|48.234400|-78.983300|124000050604
04/16/24|000050604|Rouyn-Noranda - Parc Tremblay|OZONE-8HR|PPB|40|8|Canada-Quebec1|37|0|48.234400|-78.983300|124000050604
04/16/24|000050604|Rouyn-Noranda - Parc Tremblay|PM2.5-24hr|UG/M3|1.5|24|Canada-Quebec1|6|0|48.234400|-78.983300|124000050604
04/16/24|000050803|Trois-Rivieres - Ecole MEES|OZONE-1HR|PPB|45|1|Canada-Quebec1|-999|-999|46.357175|-72.546187|124000050803
04/16/24|000050803|Trois-Rivieres - Ecole MEES|OZONE-8HR|PPB|42|8|Canada-Quebec1|39|0|46.357175|-72.546187|124000050803
04/16/24|000050803|Trois-Rivieres - Ecole MEES|PM2.5-24hr|UG/M3|0.8|24|Canada-Quebec1|4|0|46.357175|-72.546187|124000050803
04/16/24|000051201|Shawinigan - Saint-Marc|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|46.554400|-72.736100|124000051201
04/16/24|000051201|Shawinigan - Saint-Marc|OZONE-8HR|PPB|39|8|Canada-Quebec1|36|0|46.554400|-72.736100|124000051201
04/16/24|000051201|Shawinigan - Saint-Marc|PM2.5-24hr|UG/M3|1.5|24|Canada-Quebec1|6|0|46.554400|-72.736100|124000051201
04/16/24|000051501|Saint-Zephirin-de-Courval|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|46.041900|-72.660000|124000051501
04/16/24|000051501|Saint-Zephirin-de-Courval|OZONE-8HR|PPB|36|8|Canada-Quebec1|33|0|46.041900|-72.660000|124000051501
04/16/24|000051501|Saint-Zephirin-de-Courval|PM2.5-24hr|UG/M3|0.7|24|Canada-Quebec1|3|0|46.041900|-72.660000|124000051501
04/16/24|000052001|Charette|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|46.442500|-72.892800|124000052001
04/16/24|000052001|Charette|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|46.442500|-72.892800|124000052001
04/16/24|000052001|Charette|PM2.5-24hr|UG/M3|0.6|24|Canada-Quebec1|3|0|46.442500|-72.892800|124000052001
04/16/24|000052301|Saint-Faustin-Lac-Carre|OZONE-1HR|PPB|43|1|Canada-Quebec1|-999|-999|46.035000|-74.481900|124000052301
04/16/24|000052301|Saint-Faustin-Lac-Carre|OZONE-8HR|PPB|41|8|Canada-Quebec1|38|0|46.035000|-74.481900|124000052301
04/16/24|000052301|Saint-Faustin-Lac-Carre|PM2.5-24hr|UG/M3|0.9|24|Canada-Quebec1|4|0|46.035000|-74.481900|124000052301
04/16/24|000052401|Parc de la Gatineau - La Peche|OZONE-1HR|PPB|39|1|Canada-Quebec1|-999|-999|45.622200|-76.017800|124000052401
04/16/24|000052701|Temiscaming|OZONE-1HR|PPB|44|1|Canada-Quebec1|-999|-999|46.721390|-79.099700|124000052701
04/16/24|000052701|Temiscaming|OZONE-8HR|PPB|39|8|Canada-Quebec1|36|0|46.721390|-79.099700|124000052701
04/16/24|000052701|Temiscaming|PM2.5-24hr|UG/M3|1.7|24|Canada-Quebec1|8|0|46.721390|-79.099700|124000052701
04/16/24|000052801|Auclair|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|47.733330|-68.707200|124000052801
04/16/24|000052801|Auclair|OZONE-8HR|PPB|36|8|Canada-Quebec1|33|0|47.733330|-68.707200|124000052801
04/16/24|000052801|Auclair|PM2.5-24hr|UG/M3|1.3|24|Canada-Quebec1|5|0|47.733330|-68.707200|124000052801
04/16/24|000053201|Res. Faun. Ashuapmushuan - Pemonka|OZONE-1HR|PPB|37|1|Canada-Quebec1|-999|-999|48.818300|-72.742800|124000053201
04/16/24|000053201|Res. Faun. Ashuapmushuan - Pemonka|OZONE-8HR|PPB|36|8|Canada-Quebec1|33|0|48.818300|-72.742800|124000053201
04/16/24|000053201|Res. Faun. Ashuapmushuan - Pemonka|PM2.5-24hr|UG/M3|0.3|24|Canada-Quebec1|2|0|48.818300|-72.742800|124000053201
04/16/24|000053301|Deschambault|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|46.682200|-71.967800|124000053301
04/16/24|000053301|Deschambault|OZONE-8HR|PPB|37|8|Canada-Quebec1|34|0|46.682200|-71.967800|124000053301
04/16/24|000053301|Deschambault|PM2.5-24hr|UG/M3|0.5|24|Canada-Quebec1|2|0|46.682200|-71.967800|124000053301
04/16/24|000053601|Notre-Dame-du-Rosaire|OZONE-1HR|PPB|38|1|Canada-Quebec1|-999|-999|46.850800|-70.452800|124000053601
04/16/24|000053601|Notre-Dame-du-Rosaire|OZONE-8HR|PPB|34|8|Canada-Quebec1|31|0|46.850800|-70.452800|124000053601
04/16/24|000053601|Notre-Dame-du-Rosaire|PM2.5-24hr|UG/M3|0.8|24|Canada-Quebec1|4|0|46.850800|-70.452800|124000053601
04/16/24|000053701|Saint-Hilaire-de-Dorset|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|45.815600|-70.859700|124000053701
04/16/24|000053701|Saint-Hilaire-de-Dorset|OZONE-8HR|PPB|39|8|Canada-Quebec1|36|0|45.815600|-70.859700|124000053701
04/16/24|000053701|Saint-Hilaire-de-Dorset|PM2.5-24hr|UG/M3|1.2|24|Canada-Quebec1|5|0|45.815600|-70.859700|124000053701
04/16/24|000053801|Tingwick|OZONE-1HR|PPB|41|1|Canada-Quebec1|-999|-999|45.907500|-71.949200|124000053801
04/16/24|000053801|Tingwick|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|45.907500|-71.949200|124000053801
04/16/24|000053801|Tingwick|PM2.5-24hr|UG/M3|0.9|24|Canada-Quebec1|4|0|45.907500|-71.949200|124000053801
04/16/24|000054201|Chapais|OZONE-1HR|PPB|40|1|Canadian Air and Precipitation Monitoring Network|-999|-999|49.822200|-74.976400|124000054201
04/16/24|000054201|Chapais|OZONE-8HR|PPB|39|8|Canadian Air and Precipitation Monitoring Network|36|0|49.822200|-74.976400|124000054201
04/16/24|000054401|Saint-Anicet|OZONE-1HR|PPB|35|1|Canada-Quebec1|-999|-999|45.116700|-74.283300|124000054401
04/16/24|000054401|Saint-Anicet|PM2.5-24hr|UG/M3|2.2|24|Canada-Quebec1|10|0|45.116700|-74.283300|124000054401
04/16/24|000054901|La Patrie - Ditton|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|45.373300|-71.251400|124000054901
04/16/24|000054901|La Patrie - Ditton|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|45.373300|-71.251400|124000054901
04/16/24|000054901|La Patrie - Ditton|PM2.5-24hr|UG/M3|1.4|24|Canada-Quebec1|6|0|45.373300|-71.251400|124000054901
04/16/24|000055001|Mont-Saint-Michel|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|46.768600|-75.431900|124000055001
04/16/24|000055001|Mont-Saint-Michel|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|46.768600|-75.431900|124000055001
04/16/24|000055001|Mont-Saint-Michel|PM2.5-24hr|UG/M3|0.4|24|Canada-Quebec1|2|0|46.768600|-75.431900|124000055001
04/16/24|000055101|Senneterre|OZONE-1HR|PPB|43|1|Canada-Quebec1|-999|-999|48.432500|-77.199700|124000055101
04/16/24|000055101|Senneterre|OZONE-8HR|PPB|41|8|Canada-Quebec1|38|0|48.432500|-77.199700|124000055101
04/16/24|000055101|Senneterre|PM2.5-24hr|UG/M3|0.4|24|Canada-Quebec1|2|0|48.432500|-77.199700|124000055101
04/16/24|000055301|Saint-Jean-sur-Richelieu - L'Acadie|OZONE-1HR|PPB|43|1|Canada-Quebec1|-999|-999|45.294170|-73.348900|124000055301
04/16/24|000055301|Saint-Jean-sur-Richelieu - L'Acadie|OZONE-8HR|PPB|39|8|Canada-Quebec1|36|0|45.294170|-73.348900|124000055301
04/16/24|000055301|Saint-Jean-sur-Richelieu - L'Acadie|PM2.5-24hr|UG/M3|2.1|24|Canada-Quebec1|9|0|45.294170|-73.348900|124000055301
04/16/24|000055401|Trois-Rivieres - Cap-de-la-Madelaine|OZONE-1HR|PPB|41|1|Canada-Quebec1|-999|-999|46.362425|-72.510042|124000055401
04/16/24|000055401|Trois-Rivieres - Cap-de-la-Madelaine|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|46.362425|-72.510042|124000055401
04/16/24|000055401|Trois-Rivieres - Cap-de-la-Madelaine|PM2.5-24hr|UG/M3|1.1|24|Canada-Quebec1|5|0|46.362425|-72.510042|124000055401
04/16/24|000055501|Frelighsburg|OZONE-1HR|PPB|43|1|Canadian Air and Precipitation Monitoring Network|-999|-999|45.051700|-72.861700|124000055501
04/16/24|000055501|Frelighsburg|OZONE-8HR|PPB|40|8|Canadian Air and Precipitation Monitoring Network|37|0|45.051700|-72.861700|124000055501
04/16/24|000055702|Levis - Parc Georges Maranda|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|46.802380|-71.168340|124000055702
04/16/24|000055702|Levis - Parc Georges Maranda|OZONE-8HR|PPB|33|8|Canada-Quebec1|31|0|46.802380|-71.168340|124000055702
04/16/24|000055702|Levis - Parc Georges Maranda|PM2.5-24hr|UG/M3|1.1|24|Canada-Quebec1|5|0|46.802380|-71.168340|124000055702
04/16/24|000060104|Ottawa Downtown|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment|-999|-999|45.434333|-75.675990|124000060104
04/16/24|000060104|Ottawa Downtown|OZONE-8HR|PPB|37|8|Ontario Ministry of the Environment|34|0|45.434333|-75.675990|124000060104
04/16/24|000060104|Ottawa Downtown|PM2.5-24hr|UG/M3|2|24|Ontario Ministry of the Environment|8|0|45.434333|-75.675990|124000060104
04/16/24|000060204|Windsor Downtown|CO-8hr|PPM|0|1|Ontario Ministry of the Environment|0|0|42.315778|-83.043667|124000060204
04/16/24|000060204|Windsor Downtown|OZONE-1HR|PPB|54|1|Ontario Ministry of the Environment|-999|-999|42.315778|-83.043667|124000060204
04/16/24|000060204|Windsor Downtown|OZONE-8HR|PPB|50|8|Ontario Ministry of the Environment|46|0|42.315778|-83.043667|124000060204
04/16/24|000060204|Windsor Downtown|PM2.5-24hr|UG/M3|4.3|24|Ontario Ministry of the Environment|18|0|42.315778|-83.043667|124000060204
04/16/24|000060211|Windsor West|OZONE-1HR|PPB|54|1|Ontario Ministry of the Environment|-999|-999|42.292886|-83.073139|124000060211
04/16/24|000060211|Windsor West|OZONE-8HR|PPB|50|8|Ontario Ministry of the Environment|46|0|42.292886|-83.073139|124000060211
04/16/24|000060211|Windsor West|PM2.5-24hr|UG/M3|4.7|24|Ontario Ministry of the Environment|20|0|42.292886|-83.073139|124000060211
04/16/24|000060304|Kingston|OZONE-1HR|PPB|40|1|Ontario Ministry of the Environment|-999|-999|44.219953|-76.521143|124000060304
04/16/24|000060304|Kingston|OZONE-8HR|PPB|38|8|Ontario Ministry of the Environment|35|0|44.219953|-76.521143|124000060304
04/16/24|000060304|Kingston|PM2.5-24hr|UG/M3|3.4|24|Ontario Ministry of the Environment|15|0|44.219953|-76.521143|124000060304
