04/10/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-7|28.3|85|0|U.S. Department of State Ethiopia - Addis Ababa
04/09/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-8|26.5|81|0|U.S. Department of State Ethiopia - Addis Ababa
04/08/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-9|41.2|115|0|U.S. Department of State Ethiopia - Addis Ababa
04/15/24|Adirondacks Region|NY|OZONE-1HR|PPB|-2|46||0|New York Dept. of Environmental Conservation
04/14/24|Adirondacks Region|NY|OZONE-1HR|PPB|-3|52||0|New York Dept. of Environmental Conservation
04/13/24|Adirondacks Region|NY|OZONE-1HR|PPB|-4|43||0|New York Dept. of Environmental Conservation
04/12/24|Adirondacks Region|NY|OZONE-1HR|PPB|-5|52||0|New York Dept. of Environmental Conservation
04/11/24|Adirondacks Region|NY|OZONE-1HR|PPB|-6|46||0|New York Dept. of Environmental Conservation
04/10/24|Adirondacks Region|NY|OZONE-1HR|PPB|-7|55||0|New York Dept. of Environmental Conservation
04/09/24|Adirondacks Region|NY|OZONE-1HR|PPB|-8|56||1|New York Dept. of Environmental Conservation
04/08/24|Adirondacks Region|NY|OZONE-1HR|PPB|-9|49||0|New York Dept. of Environmental Conservation
04/07/24|Adirondacks Region|NY|OZONE-1HR|PPB|-10|51||0|New York Dept. of Environmental Conservation
04/16/24|Adirondacks Region|NY|OZONE-8HR|PPB|-1|36|33|0|New York Dept. of Environmental Conservation
04/15/24|Adirondacks Region|NY|OZONE-8HR|PPB|-2|44|41|0|New York Dept. of Environmental Conservation
04/14/24|Adirondacks Region|NY|OZONE-8HR|PPB|-3|48|44|0|New York Dept. of Environmental Conservation
04/13/24|Adirondacks Region|NY|OZONE-8HR|PPB|-4|42|39|0|New York Dept. of Environmental Conservation
04/12/24|Adirondacks Region|NY|OZONE-8HR|PPB|-5|45|42|0|New York Dept. of Environmental Conservation
04/11/24|Adirondacks Region|NY|OZONE-8HR|PPB|-6|44|41|0|New York Dept. of Environmental Conservation
04/10/24|Adirondacks Region|NY|OZONE-8HR|PPB|-7|52|48|0|New York Dept. of Environmental Conservation
04/09/24|Adirondacks Region|NY|OZONE-8HR|PPB|-8|53|49|1|New York Dept. of Environmental Conservation
04/08/24|Adirondacks Region|NY|OZONE-8HR|PPB|-9|47|44|0|New York Dept. of Environmental Conservation
04/07/24|Adirondacks Region|NY|OZONE-8HR|PPB|-10|49|45|0|New York Dept. of Environmental Conservation
04/16/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-1|1.4|6|0|New York Dept. of Environmental Conservation
04/15/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-2|2.9|12|0|New York Dept. of Environmental Conservation
04/14/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-3|2.6|11|0|New York Dept. of Environmental Conservation
04/13/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-4|0.2|1|0|New York Dept. of Environmental Conservation
04/12/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-5|1.1|5|0|New York Dept. of Environmental Conservation
04/11/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-6|3.7|16|0|New York Dept. of Environmental Conservation
04/10/24|Adirondacks Region|NY|PM2.5-24HR|UG/M3|-7|5.5|23|1|New York Dept. of Environmental Conservation
04/15/24|Aguascalientes|MX|OZONE-1HR|PPB|-2|57||0|Government of the State of Aguascalientes
04/14/24|Aguascalientes|MX|OZONE-1HR|PPB|-3|84||1|Government of the State of Aguascalientes
04/13/24|Aguascalientes|MX|OZONE-1HR|PPB|-4|65||0|Government of the State of Aguascalientes
04/12/24|Aguascalientes|MX|OZONE-1HR|PPB|-5|63||0|Government of the State of Aguascalientes
04/11/24|Aguascalientes|MX|OZONE-1HR|PPB|-6|52||0|Government of the State of Aguascalientes
04/10/24|Aguascalientes|MX|OZONE-1HR|PPB|-7|47||0|Government of the State of Aguascalientes
04/09/24|Aguascalientes|MX|OZONE-1HR|PPB|-8|36||0|Government of the State of Aguascalientes
04/08/24|Aguascalientes|MX|OZONE-1HR|PPB|-9|35||0|Government of the State of Aguascalientes
04/07/24|Aguascalientes|MX|OZONE-1HR|PPB|-10|29||0|Government of the State of Aguascalientes
04/16/24|Aguascalientes|MX|OZONE-8HR|PPB|-1|45|42|0|Government of the State of Aguascalientes
04/15/24|Aguascalientes|MX|OZONE-8HR|PPB|-2|48|44|0|Government of the State of Aguascalientes
04/14/24|Aguascalientes|MX|OZONE-8HR|PPB|-3|71|101|1|Government of the State of Aguascalientes
04/13/24|Aguascalientes|MX|OZONE-8HR|PPB|-4|62|74|0|Government of the State of Aguascalientes
04/12/24|Aguascalientes|MX|OZONE-8HR|PPB|-5|47|44|0|Government of the State of Aguascalientes
04/11/24|Aguascalientes|MX|OZONE-8HR|PPB|-6|46|43|0|Government of the State of Aguascalientes
04/10/24|Aguascalientes|MX|OZONE-8HR|PPB|-7|39|36|0|Government of the State of Aguascalientes
04/09/24|Aguascalientes|MX|OZONE-8HR|PPB|-8|31|29|0|Government of the State of Aguascalientes
04/08/24|Aguascalientes|MX|OZONE-8HR|PPB|-9|31|29|0|Government of the State of Aguascalientes
04/07/24|Aguascalientes|MX|OZONE-8HR|PPB|-10|24|22|0|Government of the State of Aguascalientes
04/16/24|Aguascalientes|MX|PM10-24hr|UG/M3|-1|80|63|1|Government of the State of Aguascalientes
04/13/24|Aguascalientes|MX|CO-8hr|PPM|-4|3|34|1|Government of the State of Aguascalientes
04/12/24|Aguascalientes|MX|CO-8hr|PPM|-5|1.2|14|0|Government of the State of Aguascalientes
04/07/24|Aguascalientes|MX|CO-8hr|PPM|-10|0.3|3|0|Government of the State of Aguascalientes
04/15/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-2|59||0|South Carolina DHEC
04/14/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-3|60||1|South Carolina DHEC
04/13/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-4|57||0|South Carolina DHEC
04/12/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-5|58||0|South Carolina DHEC
04/11/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-6|55||0|South Carolina DHEC
04/10/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-7|51||0|South Carolina DHEC
04/09/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-8|44||0|South Carolina DHEC
04/08/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-9|55||0|South Carolina DHEC
04/07/24|Aiken-Augusta - SC and GA|SC|OZONE-1HR|PPB|-10|55||0|South Carolina DHEC
04/16/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-1|46|43|0|South Carolina DHEC
04/15/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-2|56|54|0|South Carolina DHEC
04/14/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-3|58|61|1|South Carolina DHEC
04/13/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-4|54|50|0|South Carolina DHEC
04/12/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-5|55|51|0|South Carolina DHEC
04/11/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-6|47|44|0|South Carolina DHEC
04/10/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-7|47|44|0|South Carolina DHEC
04/09/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-8|41|38|0|South Carolina DHEC
04/08/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-9|51|47|0|South Carolina DHEC
04/07/24|Aiken-Augusta - SC and GA|SC|OZONE-8HR|PPB|-10|47|44|0|South Carolina DHEC
