ValidDate_x,ValidTime,latitude,longitude,ValidDate_y,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/19/2024,01:04,34.025139,-118.279204,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:05,34.024981,-118.279258,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:05,34.024849,-118.27949,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:06,34.025099,-118.27921,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:06,34.025147,-118.279203,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:34,34.025144,-118.279205,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:34,34.025324,-118.279492,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:34,34.025324,-118.279492,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:34,34.025324,-118.279492,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:34,34.025145,-118.279205,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,05:13,34.025151,-118.279204,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:20,34.024933,-118.279163,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:20,34.025145,-118.279202,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:21,34.024933,-118.279163,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:21,34.025143,-118.279204,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:25,34.025152,-118.279205,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:26,34.02485,-118.279108,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:26,34.025158,-118.279216,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:26,34.02515,-118.279204,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:43,34.025148,-118.279203,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:43,34.025153,-118.279209,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:43,34.02515,-118.279203,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:44,34.025103,-118.279211,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,05:45,34.025119,-118.27921,04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/19/2024,06:11,34.025155,-118.279205,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:14,34.024985,-118.279185,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:14,34.025103,-118.279211,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:16,34.025126,-118.279209,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:57,34.025199,-118.279387,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:57,34.025036,-118.279204,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,06:57,34.025104,-118.279213,04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/19/2024,07:02,34.025105,-118.279211,04/19/2024,07:00,34.066429,-118.226755,21.0,50.0
04/19/2024,07:55,34.025152,-118.279202,04/19/2024,07:00,34.066429,-118.226755,21.0,50.0
04/19/2024,08:23,34.025104,-118.279211,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:24,34.025129,-118.279207,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:30,34.025031,-118.279157,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:30,34.025154,-118.2792,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:31,34.025154,-118.279203,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:31,34.025158,-118.279204,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:32,34.025103,-118.27921,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:32,34.025138,-118.279201,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.024999,-118.279201,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.024972,-118.279068,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.025001,-118.279104,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.025083,-118.279163,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.025046,-118.27927,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:37,34.025113,-118.279188,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:38,34.025046,-118.279282,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:38,34.025045,-118.279173,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:39,34.025119,-118.27927,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:40,34.025072,-118.279151,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:41,34.024991,-118.279214,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:41,34.025081,-118.279226,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:42,34.025149,-118.27932,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:42,34.025093,-118.279228,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:48,34.025202,-118.279256,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:48,34.025299,-118.279264,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:48,34.025201,-118.279286,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:48,34.025099,-118.279231,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025168,-118.279157,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025119,-118.279299,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025063,-118.279201,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025064,-118.279342,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025158,-118.279338,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:52,34.025071,-118.27927,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:53,34.025027,-118.279175,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:53,34.025153,-118.279185,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:53,34.025208,-118.279203,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:54,34.025105,-118.279211,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:54,34.025146,-118.279206,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:56,34.025064,-118.279253,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,08:56,34.02515,-118.279214,04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/19/2024,09:01,34.025041,-118.279267,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:03,34.024954,-118.279241,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:04,34.025113,-118.279168,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:11,34.025035,-118.279113,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:11,34.025127,-118.279177,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:15,34.025188,-118.279325,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:15,34.025143,-118.279223,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:16,34.025134,-118.279078,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:17,34.025136,-118.2792,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:18,34.025224,-118.279171,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:18,34.025146,-118.279081,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:18,34.02513,-118.278964,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/19/2024,09:18,34.02513,-118.279087,04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
