"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","NO2","NO2_Unit","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","PM10","PM10_Unit"
"011212520","JPN Site 011212520","Active","","36.05207","139.411247","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"000070118","Winnipeg_Scotia","Active","CA","49.9319","-96.8631","0.0","-6","CA","CC","04/12/2024","16:00","Manitoba Conservation Air Quality Section","","","","","","1","0","1","1","","","","","","","","","","","",""
"060539981","Marshall Park Elementary","Inactive","R9","36.636753","-121.807495","0.0","-8","US","CA","04/12/2024","16:00","Monterey Bay Unified APCD","","","","","","0","0","1","0","","","","","","","","","","","",""
"320310022","Galletti","Inactive","R9","39.532","-119.785","0.0","-8","US","NV","04/12/2024","16:00","Northern Nevada Public Health Air Quality Management Division","Reno-Sparks","","","","","0","1","1","0","","","","","","","","","","","",""
"007210010","JPN Site 007210010","Active","","37.58498","140.463589","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"013108010","JPN Site 013108010","Active","","35.689338","139.827341","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"371470006","PITTAGCT","Active","R4","35.641276","-77.360126","6.7","-5","US","NC","04/12/2024","16:00","North Carolina DEQ - Division of Air Quality","Pitt County|Carteret County|Lenoir County|Martin County","44","","7","","1","0","1","0","","","","","1.0","UG/M3","","","51.0","PPB","",""
"390350065","Harvard Yards","Active","R5","41.446682","-81.662419","0.0","-5","US","OH","04/12/2024","16:00","Ohio EPA-DAPC","","","9","25","","0","1","1","0","","","","","6.5","UG/M3","0.0","PPB","","","10.0","UG/M3"
"060610002","Auburn","Inactive","R9","38.937801","-121.103897","0.0","-8","US","CA","04/12/2024","16:00","Placer County APCD","Auburn","","","","","1","0","1","0","","","","","","","","","","","",""
"340210005","Rider University","Active","R2","40.283092","-74.742645","29.9","-5","US","NJ","04/12/2024","16:00","New Jersey Dept. of Environmental Protection","Trenton|Central","34","","54","","1","0","1","1","","","","","16.8","UG/M3","","","34.0","PPB","",""
"148CHD010001","N'Djamena","Active","DSCD","12.1348","15.0557","0.0","1","CD","N/A","04/12/2024","16:00","U.S. Department of State Chad - N'Djamena","N'Djamena","","","178","","0","0","1","0","","","","","140.0","UG/M3","","","","","",""
"012230010","JPN Site 012230010","Active","","35.67296","140.312023","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"840410170115","Bend Ponderosa Elementary School","Active","R10","44.093619","-121.272518","1058.7","-8","US","OR","04/12/2024","16:00","Oregon Dept. of Environmental Quality","","","","15","","0","0","1","0","","","","","3.3","UG/M3","","","","","",""
"022202080","JPN Site 022202080","Active","","34.726903","137.669786","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"014214510","JPN Site 014214510","Active","","35.390194","139.278789","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"012212520","JPN Site 012212520","Active","","35.684068","140.217031","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"120990021","Lantana Preserve","Active","R4","26.593808","-80.058917","8.8","-5","US","FL","04/12/2024","16:00","Florida Dept. of Environmental Protection","West Palm Beach","41","","","","1","0","0","0","","","","","","","","","48.0","PPB","",""
"040203060","JPN Site 040203060","Active","","33.303597","130.516557","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"012201160","JPN Site 012201160","Active","","35.570467","140.125655","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"037201550","JPN Site 037201550","Active","","34.317717","134.025663","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"028208010","JPN Site 028208010","Active","","34.803228","134.468382","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"400170101","Yukon","Active","R6","35.4794","-97.7508","0.0","-6","US","OK","04/12/2024","16:00","Oklahoma Department of Environmental Quality","Oklahoma City","35","","","","1","0","0","0","","","","","","","","","47.0","PPB","",""
"482011050","Seabrook Friendship Park C45","Active","R6","29.5831","-95.0156","3.1","-6","US","TX","04/12/2024","16:00","Texas Commission on Environmental Quality","Houston-Galveston-Brazoria","32","","19","","1","0","1","1","","","","","3.2","UG/M3","","","","","",""
"410390060","Eugene - Amazon Park","Active","R10","44.0263","-123.08377","137.3","-8","US","OR","04/12/2024","16:00","Lane Regional Air Protection Agency","Eugene and Springfield","","","16","","1","0","1","0","","","","","4.2","UG/M3","","","","","",""
"510360002","SHIRLEY PLANTATION","Active","R3","37.34438","-77.25925","0.0","-5","US","VA","04/12/2024","16:00","Virginia Dept. of Environmental Quality","Richmond","38","","13","1","1","0","1","1","1.7","PPB","","","2.9","UG/M3","-0.5","PPB","47.0","PPB","",""
"840171190120","Alton","Active","R5","38.901316","-90.146211","0.0","-6","US","IL","04/12/2024","16:00","Illinois EPA","St. Louis (Metro-east)","36","","","","1","0","0","0","","","","","","","","","45.0","PPB","",""
"038205020","JPN Site 038205020","Active","","33.961631","133.26491","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"027113510","JPN Site 027113510","Active","","34.704089","135.436917","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"482010561","Meyer Park C561","Inactive","R6","30.011669","-95.522499","12.2","-6","US","TX","04/12/2024","16:00","Texas Commission on Environmental Quality","","","","","","1","0","0","0","","","","","","","","","","","",""
"004203010","JPN Site 004203010","Active","","38.314912","141.022121","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"040137022","LEHI","Active","R9","33.474499","-111.805099","377.6","-7","US","AZ","04/12/2024","16:00","Salt River Pima-Maricopa Indian Community","Salt River Pima-Maricopa Indian Community","36","19","","","1","1","0","0","","","","","","","","","41.0","PPB","24.0","UG/M3"
"460650003","Pierre","Active","R8","44.373786","-100.287269","0.0","-6","US","SD","04/12/2024","16:00","South Dakota Department of Agriculture and Natural Resources","Pierre","","","0","","0","0","1","0","","","","","-3.6","UG/M3","","","","","",""
"020203010","JPN Site 020203010","Active","","36.399235","138.259938","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"481351014","Odessa Gonzales C1014","Active","R6","31.870253","-102.334756","884.5","-6","US","TX","04/12/2024","16:00","Texas Commission on Environmental Quality","Midland-Odessa","","","40","","0","0","1","0","","","","","11.0","UG/M3","","","","","",""
"500070007","Underhill","Active","R1","44.528389","-72.868973","388.0","-5","US","VT","04/12/2024","16:00","Vermont Air Quality & Climate Division","Burlington|Vermont Mountain Valley Locations","37","1","4","","1","1","1","0","","","","","1.4","UG/M3","","","43.0","PPB","2.0","UG/M3"
"380570004","Beulah North","Active","R8","47.2986","-101.7669","630.1","-6","US","ND","04/12/2024","16:00","North Dakota Department of Environmental Quality","Beulah","35","6","10","1","1","1","1","1","1.1","PPB","","","1.8","UG/M3","0.9","PPB","44.0","PPB","5.0","UG/M3"
"060310004","Corcoran","Active","R9","36.102219","-119.566002","0.0","-8","US","CA","04/12/2024","16:00","San Joaquin Valley Unified APCD","Hanford","","50","56","","0","1","1","0","","","","","8.0","UG/M3","","","","","44.0","UG/M3"
"181411007","GRANGER","Inactive","R5","41.7525","-86.1106","0.0","-5","US","IN","04/12/2024","16:00","Indiana Dept. of Environmental Management","South Bend","","","","","1","0","0","0","","","","","","","","","","","",""
"530090014","Neah Bay-Makah Tribe ","Inactive","R10","48.371799","-124.5952","1.8","-8","US","WA","04/12/2024","16:00","Washington Department of Ecology","","","","","","0","0","1","0","","","","","","","","","","","",""
"840440070040","Near Road","Active","R1","41.771987","-71.427881","0.0","-5","US","RI","04/12/2024","16:00","Rhode Island Dept. of Environmental Management","","","","15","2","0","0","1","1","2.0","PPB","0.2","PPM","4.0","UG/M3","","","","","",""
"800140005","Centro","Active","MX","20.673611","-103.333056","482.5","-6","MX","MX","04/12/2024","16:00","Sistema de Monitoreo Atmosferico de Jalisco","","","","","","1","1","0","1","","","","","","","","","","","",""
"040109510","JPN Site 040109510","Active","","33.866042","130.765955","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"450910008","York Landfill","Active","R4","34.977","-81.207","0.0","-5","US","SC","04/12/2024","16:00","South Carolina DHEC","York, Chester, and Lancaster","39","","","","1","0","0","0","","","","","","","-0.4","PPB","45.0","PPB","",""
"360430005","Nicks Lake","Inactive","R2","43.6856","-74.9864","0.0","-5","US","NY","04/12/2024","16:00","New York Dept. of Environmental Conservation","Adirondacks Region","","","","","1","0","0","0","","","","","","","","","","","",""
"038201090","JPN Site 038201090","Active","","33.816914","132.70163","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"022327010","JPN Site 022327010","Active","","35.020783","138.9455","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060550004","Napa - Napa Valley College","Inactive","R9","38.278849","-122.275024","10.1","-8","US","CA","04/12/2024","16:00","San Francisco Bay Area AQMD","Napa","","","","","1","0","1","1","","","","","","","","","","","",""
"220332002","SOUTHERN","Inactive","R6","30.5257","-91.1862","0.0","-6","US","LA","04/12/2024","16:00","Louisiana Department of Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"008561510","JPN Site 008561510","Active","","35.950702","139.977038","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"80011G013","Estación DIF","Active","MX","20.558153","-101.20485","500.2","-6","MX","MX","04/12/2024","16:00","Secretaría de Medio Ambiente y Ordenamiento Territorial","Guanajuato","39","53","86","","1","1","1","0","","","1.7","PPM","29.7","UG/M3","6.9","PPB","44.0","PPB","62.0","UG/M3"
"840410510032","Portland Lane Middle School","Active","R10","45.47142","-122.60147","76.9","-8","US","OR","04/12/2024","16:00","Oregon Dept. of Environmental Quality","Portland","","","25","","0","0","1","0","","","","","4.4","UG/M3","","","","","",""
"212218001","CADIZ","Inactive","R4","36.783901","-87.851898","0.0","-6","US","KY","04/12/2024","16:00","Tennessee Valley Authority","Clarksville-Montgomery County","","","","","1","0","0","0","","","","","","","","","","","",""
"010499991","Sand Mountain","Active","R3","34.289001","-85.970065","349.2","-6","US","AL","04/12/2024","16:00","EPA Office of Atmospheric Protection","","40","","","","1","0","0","0","","","","","","","","","46.0","PPB","",""
"211950002","PIKE2001","Active","R4","37.4828","-82.5353","0.0","-5","US","KY","04/12/2024","16:00","Kentucky DEP","Pikeville","38","","13","","1","0","1","0","","","","","3.0","UG/M3","","","42.0","PPB","",""
"560359991","Pinedale","Active","R3","42.9288","-109.788","2389.4","-7","US","WY","04/12/2024","16:00","EPA Office of Atmospheric Protection","Upper Green River Basin","44","","","","1","0","0","0","","","","","","","","","50.0","PPB","",""
"530270011","Taholah-Quinault Tribe","Active","R10","47.339802","-124.291801","13.7","-8","US","WA","04/12/2024","16:00","Washington Department of Ecology","Taholah","","","","","0","0","1","0","","","","","","","","","","","",""
"360470052","Bklyn - PS 314","Active","R2","40.641819","-74.018707","0.0","-5","US","NY","04/12/2024","16:00","New York Dept. of Environmental Conservation","New York City Region","","","62","","0","0","1","0","","","","","20.7","UG/M3","","","","","",""
"840530579990","Padilla Bay","Active","R10","48.49545","-122.48088","0.0","-8","US","WA","04/12/2024","16:00","Washington Department of Ecology","","","","7","","0","0","1","0","","","","","2.7","UG/M3","","","","","",""
"040070011","Miami Jones Ranch","Active","R9","33.3855","-110.867267","0.0","-7","US","AZ","04/12/2024","16:00","Arizona Department of Environmental Quality","","","","","","0","0","0","0","","","","","","","0.1","PPB","","","",""
"300290049","Columbia Falls","Active","R8","48.363694","-114.189272","0.0","-7","US","MT","04/12/2024","16:00","Montana DEQ","Flathead Valley","","10","40","","0","1","1","0","","","","","10.7","UG/M3","","","","","10.0","UG/M3"
"320310016","Reno3","Inactive","R9","39.52507","-119.807744","0.0","-8","US","NV","04/12/2024","16:00","Northern Nevada Public Health Air Quality Management Division","Reno-Sparks","","","","","1","1","1","1","","","","","","","","","","","",""
"033201210","JPN Site 033201210","Active","","34.652123","133.863162","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"061073000","Visalia-Airport","Inactive","R9","36.313889","-119.392778","0.0","-8","US","CA","04/12/2024","16:00","San Joaquin Valley Unified APCD","","","","","","0","0","0","0","","","","","","","","","","","",""
"014206010","JPN Site 014206010","Active","","35.264372","139.152416","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
