W San Bernardino M|CA|US|Yes|Residential No Burn|Residential No Burn|34.2440|-117.5328|-8|Yes|PST|PDT|ca169|No|South Coast AQMD
C San Bernardino M|CA|US|Yes|Residential No Burn|Residential No Burn|34.2413|-117.2755|-8|Yes|PST|PDT|ca170|No|South Coast AQMD
Big Bear Lake|CA|US|Yes|Residential No Burn|Residential No Burn|34.1734|-116.8851|-8|Yes|PST|PDT|ca171|No|South Coast AQMD
Phelan|CA|US|Yes|Residential No Burn|Residential No Burn|34.4250|-117.5897|-8|Yes|PST|PDT|ca172|No|Mojave Desert AQMD
Hesperia|CA|US|Yes|Residential No Burn|Residential No Burn|34.4163|-117.2855|-8|Yes|PST|PDT|ca173|No|Mojave Desert AQMD
Trona|CA|US|Yes|Residential No Burn|Residential No Burn|35.7744|-117.3722|-8|Yes|PST|PDT|ca174|No|Mojave Desert AQMD
Victorville|CA|US|Yes|Residential No Burn|Residential No Burn|34.5108|-117.3255|-8|Yes|PST|PDT|ca175|No|Mojave Desert AQMD
Yucca Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.1209|-116.4223|-8|Yes|PST|PDT|ca176|No|Mojave Desert AQMD
Barstow|CA|US|Yes|Residential No Burn|Residential No Burn|34.8938|-117.0244|-8|Yes|PST|PDT|ca177|No|Mojave Desert AQMD
Twentynine Palms|CA|US|Yes|Residential No Burn|Residential No Burn|34.3167|-116.0944|-8|Yes|PST|PDT|ca178|No|Mojave Desert AQMD
Rochester Area|MN|US|Yes|Air Advisory Day|Air Advisory Day|43.9969|-92.4504|-6|Yes|CST|CDT|mn002|No|Minnesota Pollution Control Agency
Rio Vista|CA|US|Yes|Spare The Air Day|Don't Light Tonight Advisory|38.2183|-121.7700|-8|Yes|PST|PDT|ca182|No|Yolo-Solano AQMD
Klamath Falls|OR|US|Yes|Air Quality Advisory||42.1904|-121.7313|-8|Yes|PST|PDT|or005|No|Klamath County
Red Hills|CA|US|Yes|Action Day|Action Day|35.6500|-120.3800|-8|Yes|PST|PDT|ca183|No|San Luis Obispo County APCD
Paso Robles|CA|US|Yes|Action Day|Action Day|35.6300|-120.6600|-8|Yes|PST|PDT|ca184|No|San Luis Obispo County APCD
Atascadero|CA|US|Yes|Action Day|Action Day|35.4900|-120.6900|-8|Yes|PST|PDT|ca185|No|San Luis Obispo County APCD
Morro Bay|CA|US|Yes|Action Day|Action Day|35.3600|-120.8300|-8|Yes|PST|PDT|ca186|No|San Luis Obispo County APCD
Carrizo Plains|CA|US|Yes|Action Day|Action Day|35.3200|-120.0000|-8|Yes|PST|PDT|ca187|No|San Luis Obispo County APCD
San Luis Obispo|CA|US|Yes|Action Day|Action Day|35.2700|-120.6600|-8|Yes|PST|PDT|ca188|No|San Luis Obispo County APCD
Nipomo|CA|US|Yes|Action Day|Action Day|35.0555|-120.5388|-8|Yes|PST|PDT|ca189|No|San Luis Obispo County APCD
Rutland|VT|US|Yes|Vermont Summer Action Day|Vermont Winter Action Day|43.6083|-72.9822|-5|Yes|EST|EDT|vt004|No|Vermont Air Quality & Climate Division
Yuba City and Marysville|CA|US|Yes|Air Quality Advisory|Air Quality Advisory|39.1389|-121.6175|-8|Yes|PST|PDT|ca190|No|Feather River Air Quality Management District
Redding|CA|US|No|||40.5497|-122.3792|-8|Yes|PST|PDT|ca191|No|Shasta County Air Quality Management District
Chico|CA|US|Yes||Check Before You Light|39.7575|-121.8422|-8|Yes|PST|PDT|ca192|No|Butte County Air Quality Management District
Gridley|CA|US|Yes||Check Before You Light|39.3083|-121.7583|-8|Yes|PST|PDT|ca193|No|Butte County Air Quality Management District
Paradise|CA|US|Yes||Check Before You Light|39.7564|-121.6044|-8|Yes|PST|PDT|ca194|No|Butte County Air Quality Management District
San Juan County|NM|US|Yes|||36.8980|-108.3420|-7|Yes|MST|MDT|nm002|No|New Mexico Air Quality Bureau
Dona Ana County|NM|US|Yes|||31.9187|-106.6330|-7|Yes|MST|MDT|nm003|No|New Mexico Air Quality Bureau
Thibodaux|LA|US|Yes|||29.7639|-90.7653|-6|Yes|CST|CDT|la004|No|Louisiana Department of Environmental Quality
Lafayette|LA|US|Yes|||30.2258|-92.0428|-6|Yes|CST|CDT|la005|No|Louisiana Department of Environmental Quality
Lake Charles|LA|US|Yes|||30.2278|-93.5797|-6|Yes|CST|CDT|la006|No|Louisiana Department of Environmental Quality
Alexandria|LA|US|Yes|||31.3101|-92.4401|-6|Yes|CST|CDT|la007|No|Louisiana Department of Environmental Quality
Monroe|LA|US|Yes|||32.5097|-92.0461|-6|Yes|CST|CDT|la008|No|Louisiana Department of Environmental Quality
City of North Miami|FL|US|No|Green North Miami|Green North Miami|25.8950|-80.1858|-5|Yes|EST|EDT|fl012|No|City of North Miami
South Coastal|NJ|US|Yes|Ozone Action Day|Ozone Action Day|39.3720|-74.5530|-5|Yes|EST|EDT|nj033|No|New Jersey Dept. of Environmental Protection
Delaware Water Gap|NJ|US|Yes|Ozone Action Day|Ozone Action Day|40.9910|-74.9390|-5|Yes|EST|EDT|nj034|No|New Jersey Dept. of Environmental Protection
Greeley|CO|US|Yes|||40.4667|-104.7225|-7|Yes|MST|MDT|co004|No|Colorado Department of Public Health and Environment
Rock Island-Moline|IL|US|Yes|||41.5148|-90.5173|-6|Yes|CST|CDT|il006|No|Illinois EPA
Apache Junction|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|33.4214|-111.5436|-7|No|MST|MST|az003|No|Pinal County Air Quality Control District
San Tan Valley|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|33.2191|-111.5611|-7|No|MST|MST|az004|No|Pinal County Air Quality Control District
City of Maricopa|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|33.0589|-112.0469|-7|No|MST|MST|az005|No|Pinal County Air Quality Control District
Hidden Valley|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.8848|-112.0370|-7|No|MST|MST|az006|No|Pinal County Air Quality Control District
Stanfield|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.8811|-111.9620|-7|No|MST|MST|az007|No|Pinal County Air Quality Control District
Casa Grande|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.8775|-111.8522|-7|No|MST|MST|az008|No|Pinal County Air Quality Control District
Pinal County Housing|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.8910|-111.5705|-7|No|MST|MST|az009|No|Pinal County Air Quality Control District
Pinal Air Park|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.5083|-111.3080|-7|No|MST|MST|az010|No|Pinal County Air Quality Control District
Death Valley National Park|CA|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|36.5092|-116.8481|-8|Yes|PST|PDT|ca195|No|National Park Service
Joshua Tree National Park|CA|US|No|Air Quality Health Advisory|Air Quality Health Advisory|34.0714|-116.3906|-8|Yes|PST|PDT|ca196|No|National Park Service
Lassen Volcanic National Park|CA|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|40.5403|-121.5764|-8|Yes|PST|PDT|ca197|No|National Park Service
Mammoth Cave National Park|KY|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|37.1319|-86.1478|-6|Yes|CST|CDT|ky003|No|National Park Service
Pinnacles National Monument|CA|US|Yes|||36.4850|-121.1556|-8|Yes|PST|PDT|ca198|No|Monterey Bay Unified APCD
Rocky Mountain National Park|CO|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|40.2778|-105.5453|-7|Yes|MST|MDT|co005|No|National Park Service
Sequoia and Kings Canyon National Parks|CA|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|36.4894|-118.8269|-8|Yes|PST|PDT|ca199|No|National Park Service
Shenandoah National Park|VA|US|No|Air Quality Health Advisory|Air Quality Health Advisory|38.5231|-78.4347|-5|Yes|EST|EDT|va006|No|National Park Service
Yosemite National Park|CA|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|37.7133|-119.7061|-8|Yes|PST|PDT|ca200|No|National Park Service
Vermont Mountain Valley Locations|VT|US|Yes|Vermont Summer Action Day|Vermont Winter Action Day|44.2600|-72.5800|-5|Yes|EST|EDT|vt005|No|Vermont Air Quality & Climate Division
Grand Junction|CO|US|Yes|||39.0666|-108.5625|-7|Yes|MST|MDT|co006|No|Colorado Department of Public Health and Environment
Lincoln|NE|US|No|||40.8125|-96.6756|-6|Yes|CST|CDT|ne002|No|Nebraska Department of Environment and Energy
Kent County|DE|US|No|||39.0647|-75.5790|-5|Yes|EST|EDT|de003|No|Delaware Dept. of Natural Resources and Environment
Salinas|CA|US|Yes|||36.6947|-121.6222|-8|Yes|PST|PDT|ca202|No|Monterey Bay Unified APCD
Ocean View|HI|US|No|||19.1176|-155.7781|-10|No|HST|HST|hi007|No|Hawaii State Dept. of Health
Kapolei|HI|US|No|||21.3236|-158.0886|-10|No|HST|HST|hi008|No|Hawaii State Dept. of Health
Sand Island|HI|US|No|||21.3039|-157.8711|-10|No|HST|HST|hi009|No|Hawaii State Dept. of Health
Kihei|HI|US|No|||20.7808|-156.4461|-10|No|HST|HST|hi010|No|Hawaii State Dept. of Health
Pearl City|HI|US|No|||21.3928|-157.9691|-10|No|HST|HST|hi011|No|Hawaii State Dept. of Health
Waikoloa|HI|US|No|||19.9431|-155.7906|-10|No|HST|HST|hi012|No|Hawaii State Dept. of Health
Mt. Rainier|WA|US|No|||46.7841|-121.7403|-8|Yes|PST|PDT|wa017|No|Washington Department of Ecology
Raymond|WA|US|Yes||Burn Ban|46.6855|-123.7272|-8|Yes|PST|PDT|wa018|No|Olympic Region Clean Air Agency
Tucson|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.2220|-110.9265|-7|No|MST|MST|az011|No|Arizona Department of Environmental Quality
Santa Cruz|CA|US|Yes|||36.9858|-121.9931|-8|Yes|PST|PDT|ca203|No|Monterey Bay Unified APCD
Hollister|CA|US|Yes|||36.8442|-121.3610|-8|Yes|PST|PDT|ca204|No|Monterey Bay Unified APCD
King City|CA|US|Yes|||36.2092|-121.1260|-8|Yes|PST|PDT|ca205|No|Monterey Bay Unified APCD
Daytona Beach|FL|US|Yes|||29.2072|-81.0378|-5|Yes|EST|EDT|fl013|No|Florida Dept. of Environmental Protection
Fort Myers|FL|US|Yes|||26.6317|-81.8572|-5|Yes|EST|EDT|fl014|No|Florida Dept. of Environmental Protection
Fort Pierce|FL|US|Yes|||27.4389|-80.3356|-5|Yes|EST|EDT|fl015|No|Florida Dept. of Environmental Protection
Melbourne|FL|US|Yes|||28.1150|-80.6319|-5|Yes|EST|EDT|fl016|No|Florida Dept. of Environmental Protection
Tallahassee|FL|US|Yes|||30.4517|-84.2685|-5|Yes|EST|EDT|fl017|No|Florida Dept. of Environmental Protection
Toledo|OH|US|No|||41.6441|-83.5466|-5|Yes|EST|EDT|oh008|No|Ohio EPA-DAPC
Chehalis|WA|US|Yes|||46.6641|-122.9673|-8|Yes|PST|PDT|wa019|No|Washington Department of Ecology
Carmel Valley|CA|US|Yes|||36.4833|-121.7319|-8|Yes|PST|PDT|ca206|No|Monterey Bay Unified APCD
Davenport|CA|US|Yes|||37.0119|-122.1933|-8|Yes|PST|PDT|ca207|No|Monterey Bay Unified APCD
Carpinteria|CA|US|Yes|||34.4027|-119.4575|-8|Yes|PST|PDT|ca208|No|Santa Barbara County Air Pollution Control District
Gaviota Coast|CA|US|Yes|||34.4897|-120.0469|-8|Yes|PST|PDT|ca209|No|Santa Barbara County Air Pollution Control District
Paradise Road|CA|US|Yes|||34.5416|-119.7914|-8|Yes|PST|PDT|ca210|No|Santa Barbara County Air Pollution Control District
Santa Ynez|CA|US|Yes|||34.6083|-120.0747|-8|Yes|PST|PDT|ca211|No|Santa Barbara County Air Pollution Control District
Goleta|CA|US|Yes|||34.4453|-119.8277|-8|Yes|PST|PDT|ca212|No|Santa Barbara County Air Pollution Control District
Jackson|MS|US|Yes|Ozone Action Day||32.3302|-90.1660|-6|Yes|CST|CDT|ms005|No|Mississippi DEQ
Eau Claire County|WI|US|Yes|||44.7625|-91.4145|-6|Yes|CST|CDT|wi009|No|Wisconsin Dept. of Natural Resources
Wichita|KS|US|No|||37.7011|-97.3139|-6|Yes|CST|CDT|ks001|No|City of Wichita
Topeka|KS|US|No|||39.0243|-95.7113|-6|Yes|CST|CDT|ks002|No|Kansas Dept. of Health and Environment
Lima|OH|US|No|||40.7710|-84.0538|-5|Yes|EST|EDT|oh006|No|Lima-Allen County Regional Planning Commission
San Lorenzo Valley|CA|US|Yes|||37.0881|-122.0844|-8|Yes|PST|PDT|ca213|No|Monterey Bay Unified APCD
Scotts Valley|CA|US|Yes|||37.0457|-122.0248|-8|Yes|PST|PDT|ca214|No|Monterey Bay Unified APCD
Watsonville|CA|US|Yes|||36.9153|-121.7607|-8|Yes|PST|PDT|ca215|No|Monterey Bay Unified APCD
Marina and Seaside|CA|US|Yes|||36.6271|-121.8300|-8|Yes|PST|PDT|ca216|No|Monterey Bay Unified APCD
Monterey Peninsula|CA|US|Yes|||36.6136|-121.9097|-8|Yes|PST|PDT|ca217|No|Monterey Bay Unified APCD
Tuolumne County|CA|US|No|||37.9620|-120.2392|-8|Yes|PST|PDT|ca218|No|Tuolumne County APCD
Canton and Massillon|OH|US|Yes|||40.7949|-81.4576|-5|Yes|EST|EDT|oh007|No|City of Canton
Holiday|FL|US|Yes|||28.3789|-82.4288|-5|Yes|EST|EDT|fl018|No|Florida Dept. of Environmental Protection
Yuma|AZ|US|Yes|High Pollution Advisory|High Pollution Advisory|32.6902|-114.6144|-7|No|MST|MST|az012|No|Arizona Department of Environmental Quality
Yakima|WA|US|No|||46.5949|-120.5122|-8|Yes|PST|PDT|wa049|No|Yakima Regional Clean Air Agency
Brigham City|UT|US|Yes|Health Advisory|Health Advisory|41.5102|-112.0156|-7|Yes|MST|MDT|ut006|No|Utah Department of Environmental Quality
Vernal|UT|US|Yes|Health Advisory|Health Advisory|40.4555|-109.5288|-7|Yes|MST|MDT|ut007|No|Utah Department of Environmental Quality
Tooele|UT|US|Yes|Health Advisory|Health Advisory|40.5309|-112.2983|-7|Yes|MST|MDT|ut008|No|Utah Department of Environmental Quality
Chiricahua National Park|AZ|US|No|||32.0092|-109.3891|-7|No|MST|MST|az013|No|National Park Service
Grand Canyon National Park|AZ|US|No|||36.0550|-112.1531|-7|No|MST|MST|az014|No|National Park Service
Petrified Forest National Park|AZ|US|No|||34.8224|-109.8918|-7|No|MST|MST|az015|No|National Park Service
Mesa Verde National Park|CO|US|No|||37.1990|-108.4710|-7|Yes|MST|MDT|co007|No|National Park Service
Craters of the Moon National Monument|ID|US|No|||43.4606|-113.5622|-7|Yes|MST|MDT|id007|No|National Park Service
Yellowstone National Park|MT|US|No|||44.5597|-110.4006|-7|Yes|MST|MDT|mt001|No|National Park Service
